bodyPart,equipment,gifUrl,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
waist,body weight,https://v2.exercisedb.io/image/MOnK4iG0MEt9h8,0001,3/4 sit-up,abs,hip flexors,lower back,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands behind your head with your elbows pointing outwards.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
waist,body weight,https://v2.exercisedb.io/image/PERWLDGUxVbpHS,0002,45° side bend,abs,obliques,,Stand with your feet shoulder-width apart and your arms extended straight down by your sides.,"Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee.","Pause for a moment at the bottom, then slowly return to the starting position.",Repeat on the other side.,Continue alternating sides for the desired number of repetitions.,,,,,,,,,,
waist,body weight,https://v2.exercisedb.io/image/PLr4yo3j-f1amp,0003,air bike,abs,hip flexors,,Lie flat on your back with your hands placed behind your head.,Lift your legs off the ground and bend your knees at a 90-degree angle.,Bring your right elbow towards your left knee while simultaneously straightening your right leg.,"Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg.",Continue alternating sides in a pedaling motion for the desired number of repetitions.,,,,,,,,,,
upper legs,body weight,https://v2.exercisedb.io/image/XPQwM7HECjgNFE,1512,all fours squad stretch,quads,hamstrings,glutes,Start on all fours with your hands directly under your shoulders and your knees directly under your hips.,"Extend one leg straight back, keeping your knee bent and your foot flexed.","Slowly lower your hips towards the ground, feeling a stretch in your quads.",Hold this position for 20-30 seconds.,Switch legs and repeat the stretch on the other side.,,,,,,,,,,
waist,body weight,https://v2.exercisedb.io/image/5nYph4eUGNiEdf,0006,alternate heel touchers,abs,obliques,,Lie flat on your back with your knees bent and feet flat on the ground.,"Extend your arms straight out to the sides, parallel to the ground.","Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel.","Return to the starting position and repeat on the left side, reaching your left hand towards your left heel.",Continue alternating sides for the desired number of repetitions.,,,,,,,,,,
back,cable,https://v2.exercisedb.io/image/Az5UYVYNa4j-oS,0007,alternate lateral pulldown,lats,biceps,rhomboids,Sit on the cable machine with your back straight and feet flat on the ground.,"Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.","Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together.","Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
lower legs,body weight,https://v2.exercisedb.io/image/ivmTcSJsMlXJeK,1368,ankle circles,calves,ankle stabilizers,,Sit on the ground with your legs extended in front of you.,Lift one leg off the ground and rotate your ankle in a circular motion.,"Perform the desired number of circles in one direction, then switch to the other direction.",Repeat with the other leg.,,,,,,,,,,,
back,body weight,https://v2.exercisedb.io/image/LSBkdKcbK4xj8n,3293,archer pull up,lats,biceps,forearms,"Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart.",Engage your core and pull your shoulder blades down and back.,"As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight.",Continue pulling until your chin is above the bar and your bent arm is fully flexed.,"Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side.",Alternate sides with each repetition.,,,,,,,,,
chest,body weight,https://v2.exercisedb.io/image/GSjHZGSiL1VbQ7,3294,archer push up,pectorals,triceps,shoulders,Start in a push-up position with your hands slightly wider than shoulder-width apart.,"Extend one arm straight out to the side, parallel to the ground.","Lower your body by bending your elbows, keeping your back straight and core engaged.",Push back up to the starting position.,"Repeat on the other side, extending the opposite arm out to the side.",Continue alternating sides for the desired number of repetitions.,core,,,,,,,,
waist,body weight,https://v2.exercisedb.io/image/osybi41Me6RFK2,2355,arm slingers hanging bent knee legs,abs,shoulders,back,Hang from a pull-up bar with your arms fully extended and your knees bent at a 90-degree angle.,"Engage your core and lift your knees towards your chest, bringing them as close to your elbows as possible.",Slowly lower your legs back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,,
waist,body weight,https://v2.exercisedb.io/image/yzS2EjySGDLmhh,2333,arm slingers hanging straight legs,abs,shoulders,back,Hang from a pull-up bar with your arms fully extended and your legs straight down.,Engage your core and lift your legs up in front of you until they are parallel to the ground.,"Hold for a moment at the top, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
upper legs,body weight,https://v2.exercisedb.io/image/sGs-MoFgyniLX4,3214,arms apart circular toe touch (male),glutes,hamstrings,quadriceps,Stand with your feet shoulder-width apart and arms extended to the sides.,"Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand.","As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance.",Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you.,Continue alternating sides for the desired number of repetitions.,,calves,,,,,,,,
waist,body weight,https://v2.exercisedb.io/image/WzINsIEOqFbBXG,3204,arms overhead full sit-up (male),abs,hip flexors,lower back,Lie flat on your back with your knees bent and feet flat on the ground.,"Extend your arms overhead, keeping them straight.","Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is upright.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,leverage machine,https://v2.exercisedb.io/image/AbxK1fjW5YdIBj,0009,assisted chest dip (kneeling),pectorals,triceps,shoulders,Adjust the machine to your desired height and secure your knees on the pad.,Grasp the handles with your palms facing down and your arms fully extended.,Lower your body by bending your elbows until your upper arms are parallel to the floor.,"Pause for a moment, then push yourself back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
waist,assisted,https://v2.exercisedb.io/image/dgsJoe9nZI6G3Z,0011,assisted hanging knee raise,abs,hip flexors,,Hang from a pull-up bar with your arms fully extended and your palms facing away from you.,"Engage your core muscles and lift your knees towards your chest, bending at the hips and knees.","Pause for a moment at the top of the movement, squeezing your abs.",Slowly lower your legs back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
waist,assisted,https://v2.exercisedb.io/image/apDkfV7kzgRGlV,0010,assisted hanging knee raise with throw down,abs,hip flexors,lower back,Hang from a pull-up bar with your arms fully extended and your palms facing away from you.,"Engage your core and lift your knees towards your chest, keeping your legs together.","Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.",Allow your legs to swing back up and repeat the movement for the desired number of repetitions.,,,,,,,,,,,
lower legs,assisted,https://v2.exercisedb.io/image/FHWElls92kFz7u,1708,assisted lying calves stretch,calves,hamstrings,,Lie on your back with your legs extended.,Bend one knee and place your foot flat on the ground.,"Using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf.",Hold the stretch for 20-30 seconds.,Release the stretch and repeat on the other leg.,,,,,,,,,,
upper legs,assisted,https://v2.exercisedb.io/image/pIPCvG-7PYwJyb,1709,assisted lying glutes stretch,glutes,hamstrings,,Lie on your back with your legs extended.,"Bend your right knee and place your right ankle on your left thigh, just above the knee.",Grasp your left thigh with both hands and gently pull it towards your chest.,Hold the stretch for 20-30 seconds.,Release and repeat on the other side.,,,,,,,,,,
upper legs,assisted,https://v2.exercisedb.io/image/re-rcIyamJTP9k,1710,assisted lying gluteus and piriformis stretch,glutes,hamstrings,,Lie on your back with your legs extended.,"Bend your right knee and place your right ankle on your left thigh, just above the knee.",Grasp your left thigh with both hands and gently pull it towards your chest.,Hold the stretch for 20-30 seconds.,Release the stretch and repeat on the other side.,,,,,,,,,,
waist,assisted,https://v2.exercisedb.io/image/tcoPW9l8mI0o23,0012,assisted lying leg raise with lateral throw down,abs,hip flexors,obliques,Lie flat on your back with your legs extended and your arms by your sides.,Place your hands under your glutes for support.,"Engage your abs and lift your legs off the ground, keeping them straight.","While keeping your legs together, lower them to one side until they are a few inches above the ground.","Pause for a moment, then lift your legs back to the starting position.",Repeat the movement to the other side.,,Continue alternating sides for the desired number of repetitions.,,,,,,,
waist,assisted,https://v2.exercisedb.io/image/bB-NQ-AJzljNQK,0013,assisted lying leg raise with throw down,abs,hip flexors,quadriceps,Lie flat on your back with your legs extended and your arms by your sides.,Place your hands under your glutes for support.,"Engage your core and lift your legs off the ground, keeping them straight.",Raise your legs until they are perpendicular to the ground.,Lower your legs back down to the starting position.,"Simultaneously, throw your legs down towards the ground, keeping them straight.",,Raise your legs back up to the starting position.,Repeat for the desired number of repetitions.,,,,,,
waist,medicine ball,https://v2.exercisedb.io/image/QnFyADdqWwnFB5,0014,assisted motion russian twist,abs,obliques,lower back,Sit on the ground with your knees bent and feet flat on the floor.,Hold the medicine ball with both hands in front of your chest.,"Lean back slightly, engaging your abs and keeping your back straight.","Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body.","Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body.",Continue alternating sides for the desired number of repetitions.,,,,,,,,,
back,leverage machine,https://v2.exercisedb.io/image/dV2Lj3p2pfkt4c,0015,assisted parallel close grip pull-up,lats,biceps,forearms,Adjust the machine to your desired weight and height.,"Place your hands on the parallel bars with a close grip, palms facing each other.",Hang from the bars with your arms fully extended and your feet off the ground.,"Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body.",Continue pulling until your chin is above the bars.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
upper legs,assisted,https://v2.exercisedb.io/image/ytpSbFtNhvVICC,0016,assisted prone hamstring,hamstrings,glutes,lower back,Lie face down on a mat or bench with your legs fully extended.,Have a partner or use a resistance band to secure your ankles.,"Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight.","Pause for a moment at the top, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,assisted,https://v2.exercisedb.io/image/s55xDjQ5-0dYhP,1713,assisted prone lying quads stretch,quads,hamstrings,glutes,Lie face down on the ground with your legs extended.,Bend your left knee and reach back with your left hand to grab your left foot or ankle.,"Gently pull your left foot towards your glutes, feeling a stretch in your left quad.","Hold the stretch for 20-30 seconds, then release.",Repeat with your right leg.,,,,,,,,,,
waist,assisted,https://v2.exercisedb.io/image/KVV3sh0QGYv-NJ,1714,assisted prone rectus femoris stretch,abs,quadriceps,,Lie face down on the ground with your legs straight.,Bend your right knee and reach back with your right hand to grab your right foot or ankle.,"Gently pull your right foot or ankle towards your glutes, feeling a stretch in the front of your right thigh.",Hold the stretch for 20-30 seconds.,Release and repeat on the other side.,,,,,,,,,,
